#timestamp x y z qx qy qz qw
1716306500.074140 -5.900702 -5.544466 0.350921 0.355726 -0.627195 -0.210573 0.660109
1716306500.674219 -5.941349 -5.596738 0.352701 0.382219 -0.619142 -0.346505 0.592036
1716306501.274297 -5.915745 -5.643304 0.337076 0.406412 -0.602914 -0.466513 0.503676
1716306501.674350 -5.860487 -5.675143 0.332596 -0.410819 0.597527 0.502518 -0.470814
1716306502.274429 -5.780487 -5.760288 0.294648 -0.472209 0.541622 0.545145 -0.431834
1716306502.874508 -5.746184 -5.840896 0.224834 -0.542944 0.474064 0.582006 -0.376489
1716306503.474588 -5.742851 -5.881301 0.162071 -0.569654 0.438362 0.624335 -0.305842
1716306503.874640 -5.734829 -5.908998 0.126413 -0.584865 0.406854 0.649601 -0.265371
1716306504.474720 -5.747615 -5.919868 0.085985 -0.597773 0.391176 0.662301 -0.225846
1716306504.874773 -5.777802 -5.894666 0.052217 -0.590323 0.411217 0.669829 -0.183706
1716306505.274827 -5.787995 -5.834015 0.015627 -0.598728 0.428151 0.652710 -0.179395
1716306505.674880 -5.795949 -5.815959 -0.085404 -0.582799 0.467654 0.637714 -0.186993
1716306506.074933 -5.763716 -5.855695 -0.273124 -0.549605 0.515186 0.631121 -0.184941
1716306506.474987 -5.711851 -5.892781 -0.511966 -0.530838 0.520139 0.627244 -0.232877
1716306506.875039 -5.673670 -5.897886 -0.661191 -0.512319 0.536187 0.595260 -0.309352
1716306507.075066 -5.658728 -5.886050 -0.700362 -0.515589 0.538869 0.569268 -0.346009
1716306507.875174 -5.643706 -5.877642 -0.746192 -0.468011 0.545680 0.612802 -0.328136
1716306508.075200 -5.649319 -5.869228 -0.745278 -0.444677 0.554465 0.639131 -0.293842
1716306508.475255 -5.670672 -5.838144 -0.741465 -0.409723 0.578083 0.662274 -0.243598
1716306508.875308 -5.688715 -5.807745 -0.737675 -0.375498 0.590739 0.683453 -0.207176
1716306509.275361 -5.700666 -5.782597 -0.736915 -0.351322 0.601456 0.698127 -0.165656
1716306509.875442 -5.726491 -5.745699 -0.738585 -0.327488 0.606787 0.712567 -0.129649
1716306510.675552 -5.772375 -5.716134 -0.728424 -0.285352 0.643086 0.702067 -0.110075
1716306511.275631 -5.818693 -5.693316 -0.467089 -0.317465 0.627260 0.705340 -0.090870
1716306511.475658 -5.826091 -5.678943 -0.310107 -0.341886 0.617146 0.704850 -0.073692
1716306511.875713 -5.784700 -5.655080 -0.042654 -0.385447 0.600881 0.697733 -0.059506
1716306512.275767 -5.651920 -5.641634 0.067736 -0.369758 0.580647 0.723561 -0.050871
1716306512.675822 -5.546603 -5.600338 0.113834 -0.346839 0.590306 0.727750 -0.040265
1716306513.275903 -5.489977 -5.570332 0.191988 -0.287683 0.638108 0.697447 -0.153701
1716306513.892652 -5.452095 -5.532610 0.265450 -0.174061 0.698711 0.651103 -0.239940
1716306514.292710 -5.414874 -5.525237 0.306176 -0.098224 0.715347 0.623295 -0.300223
1716306514.892789 -5.367181 -5.525816 0.363318 -0.014920 0.727297 0.578485 -0.369015
1716306515.492873 -5.363117 -5.453331 0.372265 0.072597 0.727026 0.516622 -0.446391
1716306515.892925 -5.401660 -5.355220 0.378871 0.123268 0.720502 0.509271 -0.454231
1716306516.493007 -5.476014 -5.194355 0.367658 0.162235 0.723388 0.520712 -0.423377
1716306516.893062 -5.516685 -5.120357 0.363525 0.139037 0.719408 0.554687 -0.394262
